Категория  | Дата | Изменения
  |   | Изменения с 08 августа 2024г
Ламинат | 45512 | Повышены цены на ламинат Alsafloor 
Ламинат | 45512 | Повышены цены на ламинат Creative 
  |   | Изменения с 07 августа 2024г
Плитка LVT и SPC | 45511 | Окончание акции снижение цен на LVT Funky House Tile декор Terrazzo
Подложка | 45511 | Добавлена новая подложка Arbiton Afirmax SPC Vinyl Smart 
  |   | Изменения с 01 августа 2024г
Подложка | 45505 | Повышены цены на подложку Bonkeel Soft 
Ковровая плитка | 45505 | Добавлены цены опт в рублях на ковровую плитку AW Medusa, Mambo, Marvel, Mantra 
Плинтус | 45505 | Повышены цены на плинтус и фурнитуру ПВХ Bonkeel Color, Object, Style 
Плинтус | 45505 | Повышены цены на плинтус коннелюрный Bonkeel
  |   | Изменения с 31 июля 2024г
Подложка | 45504 | Повышены цены на подложку Arbiton Secura Thermo Aquastop Smart 
  |   | Изменения с 29 июля 2024г
Подложка | 45502 | Повышены цены на хвойную подложку
  |   | Изменения с 19 июля 2024г
Ковровая плитка | 45492 | Добавлена новая ковровая плитка Bonkeel
  |   | Изменения с 16 июля 2024г
Ламинат | 45489 | Акция: снижение цены на 4 коллекции ламианта Kronostar Symbio Groove, Symbio, Galaxy 4V, Galaxy 
  |   | Изменения с 09 июля 2024г
Ламинат | 45482 | Убрана минимальная РЦ по ламинату Creative и Masterfloor by Kaindl 
  |   | Изменения с 08 июля 2024г
Линолеум бытовой рулоны | 45481 | Окончание акции снижение цены на новинку бытового линолеума Junior 
  |   | Изменения с 01 июля 2024г
Линолеум бытовой рулоны | 45474 | Окончание акции снижение цены на новинки бытового линолеума
Ламинат | 45474 | Окончание акции снижение цен на ламинат Classen коллекция Herringbone Ville 
  |   | Изменения с 28 июня 2024г
Ламинат | 45471 | Добавлена коллекция ламината Tarkett Imperator 833
Плитка LVT и SPC | 45471 | Убрана из прайса LVT плитка Cronofloor
  |   | Изменения с 26 июня 2024г
Ламинат | 45469 | Добавлены коллекции ламината Kronostar Fanat, Caspian, Ecologik 
  |   | Изменения с 25 июня 2024г
Ламинат | 45468 | Убран из прайса ламинат Kronopol
  |   | Изменения с 19 июня 2024г
Подложка | 45462 | Повышены цены на плёнку гидропароизоляционную Изобонд
  |   | Изменения с 11 июня 2024г
Плинтус | 45454 | Повышены цены на плинтус Bonkeel Top
  |   | Изменения с 10 июня 2024г
Ламинат | 45453 | Снижены цены на ламинат Bonkeel Slim и Dream 
Плинтус | 45453 | Снижены цены на плинтус Integra 
Плинтус | 45453 | Снижены цены на плинтус Vega
  |   | Изменения с 5 июня 2024г
Плитка LVT и SPC | 45448 | Акция: снижение цен на плитку LVT Funky House декоры Rincon, Bob, Jade; Funky House Tile  декор Terrazzo и Bonkeel Tile декор Grigio Terrazzo
Плитка LVT и SPC | 45448 | Добавлена коллекция плитки LVT Bonkeel Style HB 
Линолеум бытовой рулоны | 45448 | Добавлена коллекция бытового линолеума Junior 
